Legislação,Número,Link Ficha,Modalidade,Tipo,Objeto,Data Abertura,Data Publicação,Município,Órgão,Situação,Valor Referência (R$),Valor Adjudicado (R$)
Lei n° 14.133/2021,005/2026-CMAC,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4286921,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA A PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE SUPORTE TECNOLÓGICO, ASSESSORIA TÉCNICA EM INFORMÁTICA E APOIO ADMINISTRATIVO ESPECIALIZADO, COMPREENDENDO A IMPLANTAÇÃO, ORGANIZAÇÃO, MANUTENÇÃO E ACOMPANHAMENTO DE ROTINAS E FLUXOS DIGITAIS ADMINISTRATIVOS DA CÂMARA MUNICIPAL DE AUGUSTO CORRÊA.",04/03/2026,21/07/2026,AUGUSTO CORREA,CAMARA MUNICIPAL DE AUGUSTO CORREA,REALIZADA,"100.000,00","100.000,00"
Lei n° 14.133/2021,047/2026- PE,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334211,PREGÃO ELETRÔNICO,MENOR PREÇO,AQUISIÇÃO DE 02 (DOIS) CAMINHÕES COMPACTADORES PARA ATENDER A DEMANDA DO MUNICÍPIO DE ITAITUBA-PA.,03/08/2026,21/07/2026,ITAITUBA,PREFEITURA MUNICIPAL DE ITAITUBA,PUBLICADA,"1.123.253,34","0,00"
Lei n° 14.133/2021,017/2026-SEMEC,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333626,"INEXIGIBILIDADE, ART. 74, INCISO V",MENOR PREÇO,"LOCAÇÃO DE IMÓVEL SITUADO RIO MARACAPUCU, SN - RIO MARACAPUCU, ILHAS DE ABAETETUBA. CEP : 68440000- ABAETETUBA - PARÁ, TENDO COMO FINALIDADE PRECÍPUA O FUNCIONAMENTO DA EMEIF SAGRADO CORAÇÃO DE JESUS, LOCALIZADA NO RIO MARACAPUCU SAGRADO, ZONA RURAL DO MUNICIPIO DE ABAETETUBA.",01/04/2026,21/07/2026,ABAETETUBA,FUNDEB,PUBLICADA,"24.000,00","24.000,00"
Lei n° 14.133/2021,001/2026-CMSF,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333571,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ASSESSORIA E CONSULTORIA JURÍDICA, A FIM DE ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE SÃO FRANCISCO DO PARÁ.",08/01/2026,21/07/2026,SAO FRANCISCO DO PARA,CAMARA MUNICIPAL DE SAO FRANCISCO DO PARA,PUBLICADA,"156.000,00","156.000,00"
Lei n° 14.133/2021,002/2026-CMSF,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333598,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE CONSULTORIA E ASSESSORIA CONTÁBIL, A FIM DE ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE SÃO FRANCISCO DO PARÁ.",08/01/2026,21/07/2026,SAO FRANCISCO DO PARA,CAMARA MUNICIPAL DE SAO FRANCISCO DO PARA,PUBLICADA,"156.000,00","156.000,00"
Lei n° 14.133/2021,001/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332616,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MEDICAMENTOS GERAIS, CONTROLADOS E MATERIAIS CORRELATOS PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE.",22/07/2026,21/07/2026,CURRALINHO,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"15.240.600,61","0,00"
Lei n° 14.133/2021,ADESÃO DE ATA REGISTRO DE PREÇOS – Nº 005/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333791,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),NÃO SE APLICA,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE ESTRUTURAS, SONORIZAÇÃO, ILUMINAÇÃO, MÃO DE OBRA, ATRAÇÕES ARTÍSTICAS E SHOWS PIROTÉCNICOS, VISANDO EVENTOS DO CALENDÁRIO CULTURAL DO MUNICÍPIO DE SÃO JOÃO DA PONTA/PA.",27/05/2026,21/07/2026,SAO JOAO DA PONTA,PREFEITURA MUNICIPAL DE SAO JOAO DA PONTA,REALIZADA,"1.921.643,99","1.790.880,00"
Lei n° 14.133/2021,6.003/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334039,"INEXIGIBILIDADE, ART. 74, INCISO V",MENOR PREÇO,"LOCAÇÃO DE IMÓVEL URBANO, LOCALIZADO NA AVENIDA GETÚLIO VARGAS, Nº 244, BAIRRO CENTRO, CACHOEIRA DO PIRIÁ/PA, DESTINADO AO FUNCIONAMENTO DA SECRETARIA MUNICIPAL DE MEIO AMBIENTE DE CACHOEIRA DO PIRIÁ",23/01/2026,21/07/2026,CACHOEIRA DO PIRIA,PREFEITURA MUNICIPAL DE CACHOEIRA DO PIRIA,PUBLICADA,"48.000,00","0,00"
Lei n° 14.133/2021,INEXIGIBILIDADE DE LICITAÇÃO Nº 005/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333900,"INEXIGIBILIDADE, ART. 74, INCISO V",NÃO SE APLICA,"LOCAÇÃO DE IMÓVEL URBANO, LOCALIZADO A AV. GOVERNADOR JOSÉ MALCHER, Nº 1271, DESTINADO À INSTALAÇÃO E FUNCIONAMENTO DO CENTRO DE TESTAGEM E ACONSELHAMENTO – CTA, VINCULADO À SECRETARIA MUNICIPAL DE SAÚDE DE BELÉM – SESMA",16/04/2026,21/07/2026,BELEM,FUNDO MUNICIPAL DE SAUDE,REALIZADA,"288.000,00","288.000,00"
Lei n° 14.133/2021,003/2026-CMI,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333810,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE CONSULTORIA E ASSESSORIA ADMINISTRATIVA E FINANCEIRA, ABRANGENDO ROTINAS ADMINISTRATIVAS, OPERACIONAIS, ORÇAMENTÁRIAS, FINANCEIRAS E DE APOIO À GESTÃO INTERNA, PARA ATENDER ÀS NECESSIDADES DÀ CÂMARA MUNICIPAL DE INHANGAPI/PA",24/04/2026,21/07/2026,INHANGAPI,CAMARA MUNICIPAL DE INHANGAPI,REALIZADA,"54.000,00","54.000,00"
